pf39,Lucas,Pouille,FRA,1994.02.23,1994,2,23,2012,84,185,185,73,"Grande-Synthe, France"
e121,Younes,El Aynaoui,MAR,1971.09.12,1971,9,12,1990,86,190,193,76,"Rabat, Morocco"
b007,Corrado,Barazzutti,ITA,1953.02.19,1953,2,19,,70,155,178,70,"Udine, Italy"
hb71,Hubert,Hurkacz,POL,1997.02.11,1997,2,11,2015,81,179,196,77,"Wroclaw, Poland"
p080,Nikola,Pilic,CRO,1939.08.27,1939,8,27,,,,,,"Split, Yugoslavia"
m271,Alex,Metreveli,GEO,1944.11.02,1944,11,2,,,,,,"Tbilisi, Georgia"
a007,Juan,Aguilera,ESP,1962.03.22,1962,3,22,,68,150,183,72,"Barcelona, Spain"
ag37,Felix,Auger-Aliassime,CAN,2000.08.08,2000,8,8,2017,88,194,193,76,"Montreal, Canada"
s248,Frank,Sedgman,AUS,1927.10.02,1927,10,2,,,,,,"Mt. Albert, VIC, Australia"
s097,Henrik,Sundstrom,SWE,1964.02.29,1964,2,29,,73,160,188,74,"Lund, Sweden"
t094,Tony,Trabert,USA,1930.08.16,1930,8,16,,82,180,185,73,"Cincinnati, OH"
l290,Nicolas,Lapentti,ECU,1976.08.13,1976,8,13,1995,86,190,188,74,"Guayaquil, Ecuador"
f165,Marcelo,Filippini,URU,1967.08.04,1967,8,4,1987,66,145,178,70,"Montevideo, Uruguay"
a031,Jimmy,Arias,USA,1964.08.16,1964,8,16,1980,70,155,175,69,"Buffalo, NY"
s675,Paradorn,Srichaphan,THA,1979.06.14,1979,6,14,1997,82,180,185,73,"Bangkok, Thailand"
s101,Jonas,Svensson,SWE,1966.10.21,1966,10,21,1985,76,168,188,74,"Goteburg, Sweden"
gd64,Cristian,Garin,CHI,1996.05.30,1996,5,30,2011,85,187,185,73,"Santiago, Chile"
g476,Guillermo,Garcia-Lopez,ESP,1983.06.04,1983,6,4,2002,80,176,185,73,"La Roda (Albacete), Spain"
s694,Radek,Stepanek,CZE,1978.11.27,1978,11,27,1996,76,167,185,73,"Karvina, Czech Republic"
h025,Jakob,Hlasek,SUI,1964.11.12,1964,11,12,1983,78,172,188,74,"Prague, Czechoslovakia"
dg13,Reggie,Doherty,GBR,1872.10.14,1872,10,14,,,,,,Wimbledon
l428,Michael,Llodra,FRA,1980.05.18,1980,5,18,1999,80,176,191,75,"Paris, France"
p226,Cedric,Pioline,FRA,1969.06.15,1969,6,15,1989,79,175,188,74,"Neuilly/Seine, France"
g379,Sebastien,Grosjean,FRA,1978.05.29,1978,5,29,1996,73,160,175,69,"Marseille, France"
m850,Paul-Henri,Mathieu,FRA,1982.01.12,1982,1,12,1999,74,163,185,73,"Strasbourg, France"
sm25,Jack,Sock,USA,1992.09.24,1992,9,24,2011,88,195,191,75,"Lincoln, NE, USA"
s055,Horst,Skoff,AUT,1968.08.22,1968,8,22,1985,73,160,175,69,"Klagenfurt, Austria"
c020,Ross,Case,AUS,1951.11.01,1951,11,1,,,,,,"Toowoomba, Australia"
